Title,Summary,Time
Γυναικεία γονιμότητα: οδηγίες χρήσης," Το θρησκευτικό και ιατρικό ιερατείο, εκπροσωπούμενα από άνδρες που θεωρούν ότι αυτονοήτως φέρουν τη σχετική δικαιοδοσία, αποφάσισαν να συνεδριάσουν για τη γυναικεία γονιμότητα.","14.06.2021, 16:00"
Είμαστε απέναντι," Εργασιακό νομοσχέδιο που ελαστικοποιεί το ωράριο, παραπέμποντας το 8ωρο στην άνιση ατομική διαπραγμάτευση μεταξύ εργοδότη και εργαζόμενου.","14.06.2021, 16:00"
Γεννηματά: Η κυβέρνηση στηρίζει μόνο τα μεγάλα ιδιωτικά συμφέροντα, Κατά την επίσκεψή της στην ΕΑΒ η πρόεδρος του Κινήματος Αλλαγής κατηγόρησε εκ νέου την κυβέρνηση πώς με το εργασιακό νομοσχέδιο εξυπηρετεί τα μεγάλα ιδιωτικά συμφέροντα.,"14.06.2021, 15:37"
"«Με ρεπά, δεν γίνονται παιδιά»", Το σύνθημα το «αλιεύσαμε» από τα social media και είναι πραγματικότητα πως με λίγες λέξεις περιγράφει εύστοχα τις δικαιολογημένες αντιδράσεις που προκάλεσε το αναχρονιστικό συνέδριο γονιμότητας που τελικά...,"14.06.2021, 14:30"
Νέα απεργία - 16 Ιουνίου - από τα ναυτεργατικά σωματεία," Αναμένεται η στάση που θα κρατήσουν αυτή τη φορά οι ακτοπλόοι (ΣΕΕΝ) και εάν θα προσφύγουν στη δικαιοσύνη όπως έκαναν και στις προηγούμενες απεργιακές κινητοποιήσεις, ζητώντας να κηρυχτούν «παράνομες και...","14.06.2021, 13:05"
Ν. Φίλης για συνέδριο γονιμότητας και εργασιακό ν/σ Χατζηδάκη, Σκληρή κριτική στο νομοσχέδιο Χατζηδάκη για τα εργασιακά που συζητείται στη βουλή εξαπέλυσε ο τομεάρχης Παιδείας του ΣΥΡΙΖΑ-Π.Σ. Νίκος Φίλης.,"14.06.2021, 12:29"
ΑΔΕΔΥ: 24ωρη απεργία στις 16 Ιουνίου ," Η Εκτελεστική Επιτροπή της ΑΔΕΔΥ, αφού έλαβε υπόψη της τις προτάσεις-αποφάσεις ομοσπονδιών και νομαρχιακών τμημάτων, μετατρέπει τη στάση εργασίας της 16ης Ιουνίου σε 24ωρη απεργία την ίδια μέρα, αντιδρώντας...","14.06.2021, 11:14"
Στην Ολομέλεια η μεγάλη αναμέτρηση για την εργασία [LIVE] , Στη Βουλή το εργασιακό νομοσχέδιο που φέρει τη σφραγίδα του Κωστή Χατζηδάκη και έχει δικαίως χαρακτηριστεί «έκτρωμα».,"14.06.2021, 09:37"
"Γραβάτες, ιεράρχες, Ομογένεια, τουρισμός και υπογεννητικότητα ", Πριν ακόμα ξεκινήσει έχει ουσιαστικά αν όχι και τυπικά τιναχτεί στον αέρα το φιλόδοξο «1ο Πανελλήνιο Συνέδριο Γονιμότητας και Αναπαραγωγικής Αυτονομίας: Ορια και Επιλογές».,"14.06.2021, 08:40"
Ακονίζουν τα ξίφη τους στο ΚΙΝ.ΑΛΛ., Για μία εβδομάδα κοινοβουλευτικών μαχών και σύγκρουσης με την κυβέρνηση με επίκεντρο το νομοσχέδιο για τα εργασιακά που ψηφίζεται στην Ολομέλεια την Τετάρτη προετοιμάζονται στο Κίνημα Αλλαγής.,"14.06.2021, 06:30"
Νέα απεργία από τους ναυτεργάτες στις 16 Ιουνίου," Αποφασισμένοι να συνεχίσουν τις κινητοποιήσεις τους διατρανώνοντας την αντίθεσή τους στο εργασιακό νομοσχέδιο εμφανίζονται οι ναυτεργάτες, παρά τις δυο προσφυγές στη Δικαιοσύνη που κατέθεσαν κατά των δυο...","14.06.2021, 06:00"
